epoch,val_accuracy
0,58.13333333333333
1,74.9
2,81.0
3,83.41666666666667
4,84.9
5,86.05
6,86.8
7,87.13333333333334
8,87.45
9,87.01666666666667
10,87.83333333333333
11,88.01666666666667
12,88.5
13,88.26666666666667
14,88.28333333333333
15,88.58333333333333
16,89.11666666666666
17,88.63333333333334
18,88.33333333333333
19,88.8
20,88.78333333333333
21,88.71666666666667
22,89.11666666666666
23,89.0
24,88.98333333333333
25,88.9
26,89.03333333333333
27,89.15
28,88.98333333333333
29,89.03333333333333
