generation,best_fitness,mean_fitness,std_fitness
0,0.09982878714799881,0.015205678530037403,0.018458453938364983
1,0.0932876467704773,0.03227190300822258,0.025627126917243004
2,0.09106078743934631,0.037003517150878906,0.026622658595442772
3,0.11694607883691788,0.05266197770833969,0.038220539689064026
4,0.11674082279205322,0.04459071159362793,0.0320182628929615
5,0.10812050849199295,0.04382135719060898,0.030472196638584137
6,0.11286592483520508,0.05426708981394768,0.035849377512931824
7,0.10380992293357849,0.04716008901596069,0.031152941286563873
8,0.12256307154893875,0.05515516921877861,0.034356020390987396
9,0.1259387582540512,0.05792057514190674,0.03880561143159866
10,0.13512134552001953,0.06539488583803177,0.04484349861741066
11,0.1283354014158249,0.06149626523256302,0.03780728206038475
12,0.12844844162464142,0.056703466922044754,0.03645498305559158
13,0.14970535039901733,0.05741656571626663,0.04423682391643524
14,0.1333467960357666,0.06557277590036392,0.04325561225414276
15,0.15159308910369873,0.06644425541162491,0.04310622066259384
16,0.13889452815055847,0.06495847553014755,0.04523849859833717
17,0.13384154438972473,0.05526205152273178,0.04337537661194801
18,0.13950441777706146,0.059361781924963,0.047460272908210754
19,0.14895617961883545,0.06549865752458572,0.05007832869887352
20,0.13935600221157074,0.06376230716705322,0.048477351665496826
21,0.15543562173843384,0.07108764350414276,0.05520370230078697
22,0.1484384387731552,0.07869809120893478,0.05614900961518288
23,0.14493241906166077,0.07385803759098053,0.05183550715446472
24,0.13945692777633667,0.0678347498178482,0.0435340590775013
25,0.1520700603723526,0.06772686541080475,0.05086323618888855
26,0.14976032078266144,0.06424351036548615,0.04950098693370819
27,0.14392003417015076,0.0568280965089798,0.0455767996609211
28,0.17562127113342285,0.07145728915929794,0.055571299046278
29,0.1570713073015213,0.07272470742464066,0.05163440480828285
30,0.13220226764678955,0.0653916597366333,0.047146543860435486
31,0.14532646536827087,0.06796349585056305,0.05161761865019798
32,0.1546100229024887,0.06409440189599991,0.05621344968676567
33,0.16187866032123566,0.07497338950634003,0.05932467058300972
34,0.1468389630317688,0.06745816767215729,0.051073700189590454
35,0.14996694028377533,0.06867900490760803,0.05266088992357254
36,0.14703220129013062,0.06783537566661835,0.05313538387417793
37,0.14389997720718384,0.0619891881942749,0.051808882504701614
38,0.15039238333702087,0.06318729370832443,0.053240519016981125
39,0.17627647519111633,0.0675060898065567,0.062252793461084366
