epoch,val_accuracy
0,9.883333333333333
1,10.25
2,29.633333333333333
3,72.36666666666666
4,77.56666666666666
5,81.86666666666666
6,83.33333333333333
7,83.75
8,83.68333333333334
9,85.93333333333334
10,85.81666666666666
11,86.66666666666667
12,86.61666666666666
13,86.6
14,87.2
15,86.78333333333333
16,86.65
17,86.88333333333334
18,87.3
19,87.33333333333333
20,87.58333333333333
21,87.45
22,87.8
23,87.83333333333333
24,87.75
25,87.76666666666667
26,87.88333333333334
27,87.76666666666667
28,88.15
29,87.65
