epoch,val_accuracy
0,45.65
1,74.16666666666667
2,80.26666666666667
3,82.96666666666667
4,83.53333333333333
5,85.7
6,86.25
7,86.31666666666666
8,86.31666666666666
9,87.16666666666667
10,87.25
11,87.65
12,87.75
13,87.88333333333334
14,87.5
15,87.43333333333334
16,87.88333333333334
17,87.31666666666666
18,87.55
19,88.05
20,88.13333333333334
21,88.08333333333333
22,87.71666666666667
23,87.88333333333334
24,87.98333333333333
25,88.05
26,87.91666666666667
27,88.23333333333333
28,88.33333333333333
29,88.26666666666667
