epoch,val_accuracy
0,48.583333333333336
1,76.03333333333333
2,80.4
3,83.33333333333333
4,84.9
5,85.55
6,86.53333333333333
7,86.88333333333334
8,86.85
9,87.33333333333333
10,87.56666666666666
11,87.66666666666667
12,87.66666666666667
13,87.68333333333334
14,87.81666666666666
15,87.65
16,87.73333333333333
17,88.1
18,87.56666666666666
19,88.1
20,87.96666666666667
21,87.85
22,87.8
23,88.06666666666666
24,88.03333333333333
25,88.33333333333333
26,88.2
27,88.2
28,88.21666666666667
29,88.36666666666666
