generation,genome_id,fitness,diversity,agreement,num_nodes,num_connections
0,1,0.0028505921363830566,0.0028505921363830566,0.9453125,1,4
0,2,0.007234632968902588,0.007234632968902588,0.91796875,1,4
0,3,0.059757769107818604,0.059757769107818604,0.80859375,1,4
0,4,0.00831305980682373,0.00831305980682373,0.9453125,1,4
0,5,0.006158947944641113,0.006158947944641113,0.91796875,1,4
0,6,0.0243680477142334,0.0243680477142334,0.8515625,1,4
0,7,0.025452733039855957,0.025452733039855957,0.80859375,1,4
0,8,0.003369152545928955,0.003369152545928955,0.9375,1,4
0,9,0.004763185977935791,0.004763185977935791,0.94921875,1,4
0,10,0.07562464475631714,0.07562464475631714,0.796875,1,4
0,11,0.0030689239501953125,0.0030689239501953125,0.953125,1,4
0,12,0.0006544589996337891,0.0006544589996337891,0.984375,1,4
0,13,0.021024763584136963,0.021024763584136963,0.83203125,1,4
0,14,0.01396864652633667,0.01396864652633667,0.87890625,1,4
0,15,0.021476686000823975,0.021476686000823975,0.84375,1,4
0,16,0.0026835203170776367,0.0026835203170776367,0.94921875,1,4
0,17,0.005289018154144287,0.005289018154144287,0.92578125,1,4
0,18,0.002034902572631836,0.002034902572631836,0.9453125,1,4
0,19,0.03471851348876953,0.03471851348876953,0.83984375,1,4
0,20,0.010348021984100342,0.010348021984100342,0.8828125,1,4
0,21,0.0002773404121398926,0.0002773404121398926,0.98046875,1,4
0,22,0.01810210943222046,0.01810210943222046,0.87109375,1,4
0,23,0.06537842750549316,0.06537842750549316,0.85546875,1,4
0,24,0.0325770378112793,0.0325770378112793,0.81640625,1,4
0,25,0.00577622652053833,0.00577622652053833,0.96484375,1,4
0,26,0.007183253765106201,0.007183253765106201,0.91015625,1,4
0,27,0.009167790412902832,0.009167790412902832,0.90625,1,4
0,28,0.0,0.3310132622718811,0.171875,1,4
0,29,0.005317628383636475,0.005317628383636475,0.93359375,1,4
0,30,0.02054762840270996,0.02054762840270996,0.88671875,1,4
0,31,0.01031029224395752,0.01031029224395752,0.90234375,1,4
0,32,0.0048035383224487305,0.0048035383224487305,0.94921875,1,4
0,33,0.0055879950523376465,0.0055879950523376465,0.9296875,1,4
0,34,0.02049630880355835,0.02049630880355835,0.84765625,1,4
0,35,0.0014641284942626953,0.0014641284942626953,0.9453125,1,4
0,36,0.006917595863342285,0.006917595863342285,0.91015625,1,4
0,37,0.0013657212257385254,0.0013657212257385254,0.9609375,1,4
0,38,0.0017946362495422363,0.0017946362495422363,0.953125,1,4
0,39,0.003374040126800537,0.003374040126800537,0.94140625,1,4
0,40,0.07288583088666202,0.09079694747924805,0.62109375,1,4
0,41,0.004638195037841797,0.004638195037841797,0.9375,1,4
0,42,0.0043408870697021484,0.0043408870697021484,0.9453125,1,4
0,43,0.027000784873962402,0.027000784873962402,0.8046875,1,4
0,44,0.03396648168563843,0.03396648168563843,0.79296875,1,4
0,45,0.000344693660736084,0.000344693660736084,0.98828125,1,4
0,46,0.04177510738372803,0.04177510738372803,0.78125,1,4
0,47,0.0073302388191223145,0.0073302388191223145,0.9375,1,4
0,48,0.007761538028717041,0.007761538028717041,0.921875,1,4
0,49,0.007200837135314941,0.007200837135314941,0.921875,1,4
0,50,0.0072335004806518555,0.0072335004806518555,0.91796875,1,4
0,51,0.004942536354064941,0.004942536354064941,0.9296875,1,4
0,52,0.010594785213470459,0.010594785213470459,0.89453125,1,4
0,53,0.037415921688079834,0.037415921688079834,0.796875,1,4
0,54,0.025405168533325195,0.025405168533325195,0.83203125,1,4
0,55,0.04177510738372803,0.04177510738372803,0.78125,1,4
0,56,0.0047032833099365234,0.0047032833099365234,0.9296875,1,4
0,57,0.001122891902923584,0.001122891902923584,0.96484375,1,4
0,58,0.010552823543548584,0.010552823543548584,0.94921875,1,4
0,59,0.022915184497833252,0.022915184497833252,0.91015625,1,4
0,60,0.020155489444732666,0.020155489444732666,0.85546875,1,4
0,61,0.0118178129196167,0.0118178129196167,0.875,1,4
0,62,0.00817936658859253,0.00817936658859253,0.90625,1,4
0,63,0.0046849846839904785,0.0046849846839904785,0.9296875,1,4
0,64,0.0011295080184936523,0.0011295080184936523,0.96484375,1,4
0,65,0.001868128776550293,0.001868128776550293,0.953125,1,4
0,66,0.005175769329071045,0.005175769329071045,0.90625,1,4
0,67,0.05285012722015381,0.05285012722015381,0.796875,1,4
0,68,0.0011313557624816895,0.0011313557624816895,0.96875,1,4
0,69,0.0038104653358459473,0.0038104653358459473,0.9609375,1,4
0,70,0.04576730728149414,0.04576730728149414,0.81640625,1,4
0,71,0.034591495990753174,0.034591495990753174,0.79296875,1,4
0,72,0.009009242057800293,0.009009242057800293,0.8984375,1,4
0,73,0.0005322694778442383,0.0005322694778442383,0.97265625,1,4
0,74,0.0385015606880188,0.0385015606880188,0.82421875,1,4
0,75,0.0020080208778381348,0.0020080208778381348,0.94921875,1,4
0,76,0.00448685884475708,0.00448685884475708,0.95703125,1,4
0,77,0.006689012050628662,0.006689012050628662,0.9296875,1,4
0,78,0.004706919193267822,0.004706919193267822,0.93359375,1,4
0,79,0.015809714794158936,0.015809714794158936,0.94140625,1,4
0,80,0.0030612945556640625,0.0030612945556640625,0.9375,1,4
0,81,0.027332305908203125,0.027332305908203125,0.8359375,1,4
0,82,0.011344373226165771,0.011344373226165771,0.92578125,1,4
0,83,0.0627889633178711,0.0627889633178711,0.80859375,1,4
0,84,0.004530429840087891,0.004530429840087891,0.9375,1,4
0,85,0.015231192111968994,0.015231192111968994,0.87109375,1,4
0,86,0.0072242021560668945,0.0072242021560668945,0.91796875,1,4
0,87,0.006728947162628174,0.006728947162628174,0.9140625,1,4
0,88,0.006939947605133057,0.006939947605133057,0.92578125,1,4
0,89,0.006313025951385498,0.006313025951385498,0.91015625,1,4
0,90,0.0008187294006347656,0.0008187294006347656,0.953125,1,4
0,91,0.030558109283447266,0.030558109283447266,0.86328125,1,4
0,92,0.006835818290710449,0.006835818290710449,0.91796875,1,4
0,93,0.007691383361816406,0.007691383361816406,0.9140625,1,4
0,94,0.004523754119873047,0.004523754119873047,0.9453125,1,4
0,95,0.006162285804748535,0.006162285804748535,0.91015625,1,4
0,96,0.013625621795654297,0.013625621795654297,0.8828125,1,4
0,97,0.007028520107269287,0.007028520107269287,0.91796875,1,4
0,98,0.04627335071563721,0.04627335071563721,0.87109375,1,4
0,99,0.006742537021636963,0.006742537021636963,0.92578125,1,4
0,100,0.023179054260253906,0.023179054260253906,0.84765625,1,4
0,101,0.005274355411529541,0.005274355411529541,0.93359375,1,4
