epoch,val_accuracy
0,45.65
1,74.16666666666667
2,80.28333333333333
3,82.9
4,83.45
5,85.71666666666667
6,86.21666666666667
7,86.38333333333334
8,86.38333333333334
9,87.06666666666666
10,87.3
11,87.68333333333334
12,87.83333333333333
13,87.85
14,87.51666666666667
15,87.4
16,87.81666666666666
17,87.28333333333333
18,87.55
19,88.03333333333333
20,88.13333333333334
21,88.08333333333333
22,87.76666666666667
23,87.86666666666666
24,87.98333333333333
25,88.0
26,87.93333333333334
27,88.2
28,88.25
29,88.23333333333333
