generation,best_fitness,mean_fitness,std_fitness
0,0.09981692582368851,0.015203689225018024,0.01845710724592209
1,0.09216950088739395,0.0320998877286911,0.02537955716252327
2,0.0910634845495224,0.03699500113725662,0.02661251835525036
3,0.1186191514134407,0.05734962597489357,0.03868841379880905
4,0.11934877187013626,0.051862932741642,0.03107202984392643
5,0.11566206067800522,0.04366596043109894,0.03379940614104271
6,0.12054885923862457,0.04753433167934418,0.03675735741853714
7,0.10992483794689178,0.04676908999681473,0.03295992314815521
8,0.11692427098751068,0.03619767725467682,0.03454231843352318
9,0.13510265946388245,0.047869425266981125,0.04045040160417557
10,0.1382077932357788,0.051513928920030594,0.040397800505161285
11,0.1360185295343399,0.0551820769906044,0.03868846222758293
12,0.13112157583236694,0.04870342090725899,0.037477996200323105
13,0.14860756695270538,0.055225569754838943,0.043016303330659866
14,0.14067043364048004,0.06480325013399124,0.045799143612384796
15,0.1406247764825821,0.06501900404691696,0.044295717030763626
16,0.14359785616397858,0.06953349709510803,0.043670374900102615
17,0.132756307721138,0.060757122933864594,0.04485132172703743
18,0.13392528891563416,0.06418619304895401,0.04713813588023186
19,0.14478638768196106,0.07053929567337036,0.047625068575143814
20,0.14851747453212738,0.06746514141559601,0.05041360855102539
21,0.14642637968063354,0.07649007439613342,0.050121910870075226
22,0.15486495196819305,0.07561899721622467,0.05203865095973015
23,0.14427490532398224,0.07206844538450241,0.051128026098012924
24,0.13409020006656647,0.06426400691270828,0.045475076884031296
25,0.1606271117925644,0.08498702198266983,0.05351268872618675
26,0.13754643499851227,0.06274706870317459,0.044396545737981796
27,0.12750281393527985,0.06441844999790192,0.04552881792187691
28,0.16915404796600342,0.07426629960536957,0.05491137132048607
29,0.15508277714252472,0.06722602993249893,0.051417648792266846
30,0.13412293791770935,0.0655110776424408,0.04557076469063759
31,0.1456114798784256,0.07269000262022018,0.04862567409873009
32,0.15888798236846924,0.07593002170324326,0.05477274954319
33,0.16025188565254211,0.08244024962186813,0.05118035152554512
34,0.14842349290847778,0.0674208551645279,0.047417812049388885
35,0.15296578407287598,0.06646392494440079,0.050285689532756805
36,0.144548699259758,0.06038763001561165,0.05121595039963722
37,0.13740023970603943,0.06659025698900223,0.05069047212600708
38,0.14909328520298004,0.06245963275432587,0.05035468190908432
39,0.172955721616745,0.07632973790168762,0.0599651038646698
