epoch,val_accuracy
0,47.266666666666666
1,74.93333333333334
2,80.41666666666667
3,83.35
4,84.38333333333334
5,85.85
6,85.91666666666667
7,86.58333333333333
8,86.53333333333333
9,87.28333333333333
10,87.15
11,87.83333333333333
12,87.75
13,87.83333333333333
14,87.35
15,87.88333333333334
16,87.7
17,87.36666666666666
18,87.73333333333333
19,87.65
20,88.1
21,88.06666666666666
22,87.73333333333333
23,88.1
24,88.18333333333334
25,88.2
26,88.16666666666667
27,88.25
28,88.16666666666667
29,88.11666666666666
