epoch,val_accuracy
0,10.266666666666667
1,62.11666666666667
2,76.55
3,81.68333333333334
4,83.95
5,85.98333333333333
6,86.18333333333334
7,86.96666666666667
8,86.68333333333334
9,87.18333333333334
10,88.2
11,88.2
12,88.5
13,88.6
14,88.61666666666666
15,88.9
16,88.78333333333333
17,88.75
18,88.91666666666667
19,88.75
20,88.81666666666666
21,88.9
22,88.93333333333334
23,88.96666666666667
24,89.11666666666666
25,88.98333333333333
26,89.03333333333333
27,89.06666666666666
28,89.08333333333333
29,89.05
