epoch,val_accuracy
0,26.866666666666667
1,74.33333333333333
2,78.58333333333333
3,82.3
4,82.81666666666666
5,84.56666666666666
6,85.46666666666667
7,86.21666666666667
8,86.43333333333334
9,86.76666666666667
10,86.78333333333333
11,87.4
12,87.51666666666667
13,88.0
14,87.71666666666667
15,88.03333333333333
16,87.81666666666666
17,87.76666666666667
18,87.9
19,88.06666666666666
20,87.96666666666667
21,88.2
22,88.0
23,88.0
24,88.36666666666666
25,88.26666666666667
26,88.08333333333333
27,88.11666666666666
28,88.23333333333333
29,88.18333333333334
