epoch,val_accuracy
0,9.933333333333334
1,59.45
2,76.66666666666667
3,81.16666666666667
4,83.83333333333333
5,85.58333333333333
6,86.9
7,87.33333333333333
8,87.11666666666666
9,87.7
10,88.31666666666666
11,88.55
12,88.65
13,89.0
14,88.73333333333333
15,88.81666666666666
16,88.71666666666667
17,88.93333333333334
18,89.0
19,89.1
20,88.93333333333334
21,89.1
22,89.21666666666667
23,89.01666666666667
24,89.3
25,89.31666666666666
26,89.43333333333334
27,89.33333333333333
28,89.6
29,89.48333333333333
