generation,best_fitness,mean_fitness,std_fitness
0,0.08699512481689453,0.015984714031219482,0.016355857253074646
1,0.08814774453639984,0.03767862170934677,0.019898254424333572
2,0.09564119577407837,0.03506065532565117,0.022294726222753525
3,0.09532701969146729,0.036607105284929276,0.023428985849022865
4,0.1094900369644165,0.0375828817486763,0.02458956465125084
5,0.09584858268499374,0.034450579434633255,0.02614695206284523
6,0.1036294549703598,0.036277174949645996,0.02509220503270626
7,0.11486491560935974,0.043641943484544754,0.03147125989198685
8,0.11487308144569397,0.03828435763716698,0.027720337733626366
9,0.11953196674585342,0.04139389842748642,0.030081573873758316
10,0.12649472057819366,0.05165152996778488,0.031884778290987015
11,0.12151437997817993,0.04911809787154198,0.034237299114465714
12,0.12796497344970703,0.04365302622318268,0.03714015707373619
13,0.1257447451353073,0.04704442247748375,0.03789887577295303
14,0.12738719582557678,0.05717066302895546,0.04288920760154724
15,0.11743416637182236,0.0589984655380249,0.03649463504552841
16,0.13047868013381958,0.05864933133125305,0.04211106151342392
17,0.13086670637130737,0.0494142547249794,0.04200409725308418
18,0.13464464247226715,0.06495765596628189,0.04378277808427811
19,0.1211806908249855,0.061692554503679276,0.04099546745419502
20,0.13930876553058624,0.066832534968853,0.04856597259640694
21,0.14509430527687073,0.06965429335832596,0.04885830730199814
22,0.13743148744106293,0.07307393103837967,0.04624315723776817
23,0.1343836486339569,0.07360579818487167,0.04528290033340454
24,0.11635971069335938,0.06538339704275131,0.03929939121007919
25,0.15733271837234497,0.08707243949174881,0.055131033062934875
26,0.13573651015758514,0.08300077170133591,0.04288211837410927
27,0.13819658756256104,0.0654083639383316,0.04556267336010933
28,0.1534786969423294,0.07682690024375916,0.050327952951192856
29,0.12274912744760513,0.0712328851222992,0.041737575083971024
30,0.11864975094795227,0.05694159120321274,0.03772087022662163
31,0.12530751526355743,0.07451698184013367,0.040068984031677246
32,0.12625080347061157,0.07099824398756027,0.04324398189783096
33,0.13702332973480225,0.06100224331021309,0.04358671233057976
34,0.13202223181724548,0.06714288890361786,0.044324129819869995
35,0.13921798765659332,0.05748932436108589,0.04598506912589073
36,0.13106907904148102,0.05374719575047493,0.04470431059598923
37,0.1300392746925354,0.06011726334691048,0.04604971408843994
38,0.1374502032995224,0.06499531120061874,0.04595743492245674
39,0.13132788240909576,0.06818848848342896,0.0429173968732357
