epoch,val_accuracy
0,9.883333333333333
1,22.55
2,72.31666666666666
3,76.56666666666666
4,81.36666666666666
5,83.6
6,84.11666666666666
7,84.48333333333333
8,84.45
9,85.81666666666666
10,86.33333333333333
11,86.71666666666667
12,86.83333333333333
13,86.91666666666667
14,86.9
15,87.06666666666666
16,87.06666666666666
17,87.26666666666667
18,87.61666666666666
19,87.23333333333333
20,87.68333333333334
21,87.05
22,88.08333333333333
23,87.86666666666666
24,87.76666666666667
25,87.7
26,87.81666666666666
27,87.76666666666667
28,88.25
29,87.86666666666666
