epoch,val_accuracy
0,9.933333333333334
1,59.53333333333333
2,76.66666666666667
3,81.18333333333334
4,83.81666666666666
5,85.63333333333334
6,86.88333333333334
7,87.41666666666667
8,87.1
9,87.63333333333334
10,88.3
11,88.58333333333333
12,88.65
13,89.06666666666666
14,88.71666666666667
15,88.81666666666666
16,88.78333333333333
17,89.03333333333333
18,88.98333333333333
19,89.05
20,88.9
21,89.05
22,89.2
23,88.93333333333334
24,89.28333333333333
25,89.38333333333334
26,89.46666666666667
27,89.38333333333334
28,89.56666666666666
29,89.46666666666667
