epoch,val_accuracy
0,48.583333333333336
1,76.03333333333333
2,80.38333333333334
3,83.35
4,84.9
5,85.53333333333333
6,86.56666666666666
7,86.88333333333334
8,86.88333333333334
9,87.31666666666666
10,87.56666666666666
11,87.63333333333334
12,87.66666666666667
13,87.68333333333334
14,87.78333333333333
15,87.65
16,87.73333333333333
17,88.11666666666666
18,87.58333333333333
19,88.1
20,87.96666666666667
21,87.83333333333333
22,87.8
23,88.08333333333333
24,88.03333333333333
25,88.3
26,88.18333333333334
27,88.2
28,88.21666666666667
29,88.38333333333334
